frame,time_s,s_px,ds_px,ds_mm,area_px,detected,valid
376,6.253644,1056.237,201.034,33.0301,5313.5,True,True
377,6.270276,1056.346,201.144,33.0481,5314.0,True,True
378,6.286908,1056.136,200.934,33.0136,5339.5,True,True
379,6.303540,1056.137,200.935,33.0137,5311.5,True,True
380,6.320172,1056.297,201.095,33.0400,5304.5,True,True
381,6.336804,1056.197,200.995,33.0236,5314.0,True,True
382,6.353436,1056.178,200.975,33.0203,5316.0,True,True
383,6.370068,1056.207,201.005,33.0252,5318.5,True,True
384,6.386700,1056.147,200.945,33.0154,5305.0,True,True
385,6.403332,1056.128,200.926,33.0123,5326.5,True,True
386,6.419964,1056.147,200.945,33.0154,5313.0,True,True
387,6.436596,1056.177,200.975,33.0203,5305.0,True,True
388,6.453228,1056.306,201.104,33.0415,5310.0,True,True
389,6.469860,1056.426,201.223,33.0611,5315.0,True,True
390,6.486492,1056.356,201.154,33.0497,5314.0,True,True
391,6.503124,1056.387,201.184,33.0547,5294.0,True,True
392,6.519756,1056.268,201.065,33.0351,5302.5,True,True
393,6.536388,1056.297,201.095,33.0400,5304.5,True,True
394,6.553020,1056.287,201.084,33.0383,5313.5,True,True
395,6.569652,1056.257,201.054,33.0333,5344.0,True,True
396,6.586284,1056.157,200.954,33.0170,5360.5,True,True
397,6.602916,1056.148,200.945,33.0155,5346.5,True,True
398,6.619548,1056.318,201.115,33.0434,5342.5,True,True
399,6.636180,1056.307,201.105,33.0417,5340.0,True,True
400,6.652812,1056.147,200.945,33.0153,5336.5,True,True
401,6.669444,1056.097,200.894,33.0071,5347.5,True,True
402,6.686076,1056.077,200.874,33.0038,5350.5,True,True
403,6.702708,1056.047,200.844,32.9989,5339.5,True,True
404,6.719341,1055.967,200.765,32.9858,5359.5,True,True
405,6.735973,1056.087,200.884,33.0055,5339.5,True,True
406,6.752605,1056.157,200.954,33.0170,5334.0,True,True
407,6.769237,1056.167,200.964,33.0186,5336.0,True,True
408,6.785869,1056.227,201.024,33.0284,5334.0,True,True
409,6.802501,1056.257,201.054,33.0333,5331.5,True,True
410,6.819133,1056.287,201.084,33.0383,5335.5,True,True
411,6.835765,1056.017,200.814,32.9939,5334.0,True,True
412,6.852397,1056.037,200.834,32.9972,5343.0,True,True
413,6.869029,1055.997,200.794,32.9907,5354.0,True,True
414,6.885661,1056.007,200.804,32.9923,5350.5,True,True
415,6.902293,1056.197,200.994,33.0235,5319.0,True,True
416,6.918925,1056.357,201.154,33.0498,5297.0,True,True
417,6.935557,1056.297,201.094,33.0399,5311.0,True,True
418,6.952189,1056.287,201.084,33.0383,5310.0,True,True
419,6.968821,1056.198,200.996,33.0237,5339.0,True,True
420,6.985453,1056.158,200.956,33.0172,5321.5,True,True
421,7.002085,1056.108,200.906,33.0090,5332.5,True,True
422,7.018717,1056.078,200.876,33.0041,5336.0,True,True
423,7.035349,1056.327,201.125,33.0449,5352.5,True,True
424,7.051981,1056.297,201.094,33.0400,5344.0,True,True
425,7.068613,1056.495,201.292,33.0725,5343.5,True,True
426,7.085245,1056.505,201.303,33.0742,5353.5,True,True
427,7.101877,1056.415,201.213,33.0594,5348.5,True,True
428,7.118509,1056.406,201.203,33.0578,5330.0,True,True
429,7.135141,1056.356,201.153,33.0496,5348.0,True,True
430,7.151773,1056.356,201.154,33.0497,5317.0,True,True
431,7.168405,1056.217,201.014,33.0268,5317.0,True,True
432,7.185037,1055.918,200.715,32.9777,5308.5,True,True
433,7.201669,1055.998,200.796,32.9909,5309.5,True,True
