frame,time_s,s_px,ds_px,ds_mm,area_px,detected,valid
533,8.864860,,,,140609.5,True,False
534,8.881492,,,,140944.0,True,False
535,8.898124,,,,129704.5,True,False
536,8.914756,,,,120868.0,True,False
537,8.931388,,,,85691.5,True,False
538,8.948020,,,,54489.5,True,False
539,8.964652,,,,22258.0,True,False
540,8.981284,,,,4388.5,True,False
541,8.997916,1192.960,116.896,20.3051,4364.5,True,True
542,9.014548,1193.010,116.946,20.3138,4384.5,True,True
543,9.031180,1192.970,116.906,20.3069,4402.5,True,True
544,9.047812,1193.059,116.995,20.3224,4405.0,True,True
545,9.064444,1193.059,116.995,20.3224,4409.5,True,True
546,9.081076,1193.049,116.985,20.3207,4412.0,True,True
547,9.097708,1192.999,116.935,20.3119,4391.0,True,True
548,9.114340,1192.979,116.915,20.3085,4389.0,True,True
549,9.130972,1192.979,116.915,20.3085,4387.5,True,True
550,9.147604,1193.029,116.966,20.3172,4381.5,True,True
551,9.164236,1192.980,116.916,20.3086,4388.0,True,True
552,9.180868,1193.060,116.996,20.3226,4385.0,True,True
553,9.197500,1193.010,116.946,20.3139,4386.0,True,True
554,9.214132,1193.030,116.966,20.3174,4389.0,True,True
555,9.230764,1193.040,116.976,20.3191,4385.0,True,True
556,9.247396,1193.040,116.976,20.3191,4385.0,True,True
557,9.264028,1193.130,117.066,20.3347,4388.0,True,True
558,9.280660,1193.130,117.066,20.3347,4389.5,True,True
559,9.297292,1193.020,116.956,20.3155,4400.0,True,True
560,9.313924,1193.068,117.004,20.3239,4409.0,True,True
561,9.330556,1192.997,116.933,20.3116,4434.5,True,True
562,9.347188,1193.197,117.133,20.3464,4432.0,True,True
563,9.363820,1193.060,116.996,20.3226,4485.0,True,True
564,9.380452,1193.081,117.017,20.3262,4467.5,True,True
565,9.397084,1193.159,117.095,20.3398,4483.0,True,True
566,9.413716,1193.225,117.161,20.3513,4486.0,True,True
567,9.430348,1193.125,117.061,20.3338,4499.0,True,True
568,9.446980,1193.205,117.142,20.3478,4480.5,True,True
569,9.463612,1193.056,116.993,20.3219,4487.0,True,True
570,9.480244,1193.287,117.223,20.3619,4451.0,True,True
571,9.496876,1193.407,117.343,20.3828,4447.5,True,True
572,9.513508,1193.358,117.294,20.3743,4468.5,True,True
